parent_name;variation_name;synonyms;goals;dimensionality;numerical;categorical;visual_cues;visual_cue_params;add_plot_args;add_gmap_args;scales;coordinate_system;shapes;description;anatomy;caveats;facetted;single_facetted;dual_facetted;grouped;plot_package;related;implemented
2D Density Plot;Simple 2D Density Plot;Hexagonal Bin Plot |  Hexagonal Bin Plot;Distribution |  Relationship;3-Dimensional;3;0;X-Position |  Y-Position |  Polygon |  Colour;{};{};{};99999;Carthesian;Polygon;;;"Play with bin size / bandwidth.
Useful only if sample size is huge.
Pick up a good color palette.";False;False;False;False;Seaborn;Density Plot |  Heat Map;False
2D Density Plot;Single Facetted 2D Density Plot;Hexagonal Bin Plot |  Hexagonal Bin Plot;Comparison |  Distribution |  Relationship;4-Dimensional;3;1;X-Position |  Y-Position |  Polygon |  Colour |  Row or Column;{};{};{};99999;Carthesian;Polygon;;;;True;True;False;False;Seaborn;Density Plot |  Heat Map;False
2D Density Plot;Dual Facetted 2D Density Plot;Hexagonal Bin Plot |  Hexagonal Bin Plot;Comparison |  Distribution |  Relationship;5-Dimensional;3;2;X-Position |  Y-Position |  Polygon |  Colour |  Row |  Column;{};{};{};99999;Carthesian;Polygon;;;;True;False;True;False;Seaborn;Density Plot |  Heat Map;False
3D Scatter Plot;Simple 3D Scatter Plot;;Relationship;3-Dimensional;3;0;X-Position |  Y-Position |  Dot |  Colour;{};{};{};99999;Carthesian;Dot;"Hexagonal Binning is another way to manage the problem of having to many points that start to overlap. Hexagonal binning plots density |  rather than points. Points are binned into gridded hexagons and distribution (the number of points per hexagon) is displayed using either the color or the area of the hexagons.This technique was first described in 1987 (D.B.Carr et al. Scatterplot Matrix Techniques for large N |  Journal of the American Statistical Association |  No.389 pp 424-436).

There are many reasons for using hexagons instead of squares for binning a 2D surface as a plane. The most evident is that hexagons are more similar to circle than square. This translates in more efficient data aggregation around the bin center. This can be seen by looking at some particular properties of hexagons and |  especially |  of the hexagonal tessellation.";;;False;False;False;False;Matplotlib;Bubble Chart |  Correlogram |  Scatter Plot;False
3D Scatter Plot;Single Facetted 3D Scatter Plot;;Comparison |  Relationship;4-Dimensional;3;1;X-Position |  Y-Position |  Dot |  Colour |  Row or Column;{};{};{};99999;Carthesian;Dot;;;;True;True;False;False;Matplotlib;Bubble Chart |  Correlogram |  Scatter Plot;False
3D Scatter Plot;Dual Facetted 3D Scatter Plot;;Comparison |  Relationship;5-Dimensional;3;2;X-Position |  Y-Position |  Dot |  Colour |  Row |  Column;{};{};{};99999;Carthesian;Dot;;;;True;False;True;False;Matplotlib;Bubble Chart |  Correlogram |  Scatter Plot;False
Arc Diagram;Simple Arc Diagram;;Proportions |  Relationship;2-Dimensional;2;0;X-Position |  Size |  Circle |  Line;{};{};{};99999;;Circle |  Line;;;Finding the best node order is the key for an insightful arc diagram;False;False;False;False;;;False
Arc Diagram;Grouped Arc Diagram;;Comparison |  Proportions |  Relationship;3-Dimensional;2;1;X-Position |  Size |  Circle |  Line |  Colour;{};{};{};99999;;Circle |  Line;;;;False;False;False;True;;;False
Area Chart;Simple Area Chart;;Data Over Time |  Range;2-Dimensional;2;0;X-Position |  Y-Position |  Area;"{""x"": ""num"" |  ""y"": ""num""}";{};{};99999;Carthesian;Area;;;;False;False;False;False;Matplotlib;Line Chart |  Steam Graph;False
Area Chart;Grouped Area Chart;;Comparison |  Data Over Time |  Range;3-Dimensional;2;1;X-Position |  Y-Position |  Area |  Colour;{};{};{};99999;Carthesian;Area;;;;False;False;False;True;Matplotlib;Line Chart |  Steam Graph;False
Area Chart;Single Facetted Area Chart;;Comparison |  Data Over Time |  Range;3-Dimensional;2;1;X-Position |  Y-Position |  Area |  Row or Column;{};{};{};99999;Carthesian;Area;;;;True;True;False;False;Matplotlib;Line Chart |  Steam Graph;False
Area Chart;Single Facetted Grouped Area Chart;;Comparison |  Data Over Time |  Range;4-Dimensional;2;2;X-Position |  Y-Position |  Area |  Colour |  Row or Column;{};{};{};99999;Carthesian;Area;;;;True;True;False;True;Matplotlib;Line Chart |  Steam Graph;False
Area Chart;Dual Facetted Area Chart;;Comparison |  Data Over Time |  Range;4-Dimensional;2;2;X-Position |  Y-Position |  Area |  Row |  Column;{};{};{};99999;Carthesian;Area;;;;True;False;True;False;Matplotlib;Line Chart |  Steam Graph;False
Area Chart;Dual Facetted Grouped Area Chart;;Comparison |  Data Over Time |  Range;5-Dimensional;2;3;X-Position |  Y-Position |  Area |  Colour |  Row |  Column;{};{};{};99999;Carthesian;Area;;;;True;False;True;True;Matplotlib;Line Chart |  Steam Graph;False
Bar Plot;Simple Bar Plot;Bar Chart |  Bar Graph;Data Over Time |  Distribution |  Part-to-a-whole;1-Dimensional;0;1;X-Position |  Y-Position |  Bar |  Length;"{""y"": ""cat""}";{};{};99999;Carthesian;Bar;;;;False;False;False;False;Seaborn;Pie Chart |  Donut Chart |  Lollipop Chart;True
Bar Plot;Grouped Bar Plot;Bar Chart |  Bar Graph;Comparison |  Distribution |  Part-to-a-whole;2-Dimensional;0;2;X-Position |  Y-Position |  Bar |  Length |  Colour;"{""y"": ""cat"" |  ""hue"": ""cat""}";{};{};99999;Carthesian;Bar;;;;False;False;False;True;Seaborn;Pie Chart |  Donut Chart |  Lollipop Chart;True
Bar Plot;Single Facetted Bar Plot;Bar Chart |  Bar Graph;Comparison |  Data Over Time |  Distribution |  Part-to-a-whole;2-Dimensional;0;2;X-Position |  Y-Position |  Bar |  Length |  Row or Column;"{""y"": ""cat"" |  ""col"": ""cat""}";{};{};99999;Carthesian;Bar;;;;True;True;False;False;Seaborn;Pie Chart |  Donut Chart |  Lollipop Chart;True
Bar Plot;Single Facetted Grouped Bar Plot;Bar Chart |  Bar Graph;Comparison |  Distribution |  Part-to-a-whole;3-Dimensional;0;3;X-Position |  Y-Position |  Bar |  Length |  Colour |  Row or Column;"{""y"": ""cat"" |  ""hue"": ""cat"" |  ""col"": ""cat""}";{};{};99999;Carthesian;Bar;;;;True;True;False;True;Seaborn;Pie Chart |  Donut Chart |  Lollipop Chart;True
Bar Plot;Dual Facetted Bar Plot;Bar Chart |  Bar Graph;Comparison |  Data Over Time |  Distribution |  Part-to-a-whole;3-Dimensional;0;3;X-Position |  Y-Position |  Bar |  Length |  Row |  Column;"{""y"": ""cat"" |  ""row"": ""cat"" |  ""col"": ""cat""}";{};{};99999;Carthesian;Bar;;;;True;False;True;False;Seaborn;Pie Chart |  Donut Chart |  Lollipop Chart;True
Bar Plot;Dual Facetted Grouped Bar Plot;Bar Chart |  Bar Graph;Comparison |  Distribution |  Part-to-a-whole;4-Dimensional;0;4;X-Position |  Y-Position |  Bar |  Length |  Colour |  Row |  Column;"{""y"": ""cat"" |  ""hue"": ""cat"" |  ""row"": ""cat"" |  ""col"": ""cat""}";{};{};99999;Carthesian;Bar;;;;True;False;True;True;Seaborn;Pie Chart |  Donut Chart |  Lollipop Chart;True
Bar Plot;Stacked Bar Plot;Bar Chart |  Bar Graph;Comparison |  Distribution |  Part-to-a-whole;2-Dimensional;0;2;X-Position |  Y-Position |  Bar |  Length |  Colour;"{""y"": ""cat"" |  ""hue"": ""cat""}";{};{};99999;Carthesian;Bar;;;;False;False;False;False;Matplotlib;;False
Bar Plot;Single Facetted Stacked Bar Plot;Bar Chart |  Bar Graph;Comparison |  Distribution |  Part-to-a-whole;3-Dimensional;0;3;X-Position |  Y-Position |  Bar |  Length |  Row or Column;"{""y"": ""cat"" |  ""hue"": ""cat"" |  ""col"": ""cat""}";{};{};99999;Carthesian;Bar;;;;True;True;False;True;Matplotlib;;False
Bar Plot;Dual Facetted Stacked Bar Plot;Bar Chart |  Bar Graph;Comparison |  Distribution |  Part-to-a-whole;4-Dimensional;0;4;X-Position |  Y-Position |  Bar |  Length |  Colour |  Row or Column;"{""y"": ""cat"" |  ""hue"": ""cat"" |  ""row"": ""cat"" |  ""col"": ""cat""}";{};{};99999;Carthesian;Bar;;;;True;False;True;True;Matplotlib;;False
Box Plot;Simple Box Plot;Whisker Plot;Comparison |  Distribution |  Range;2-Dimensional;1;1;X-Position |  Y-Position |  Bar |  Length;"{""x"": ""num"" |  ""y"": ""cat""}";{};{};99999;Carthesian;Bar |  Line;;;;False;False;False;False;Seaborn;Violin Plot;True
Box Plot;Grouped Box Plot;Whisker Plot;Comparison |  Distribution |  Range;3-Dimensional;1;2;X-Position |  Y-Position |  Bar |  Length |  Row or Column;"{""x"": ""num"" |  ""y"": ""cat"" |  ""hue"": ""cat""}";{};{};99999;Carthesian;Bar |  Line;;;;False;False;False;True;Seaborn;Violin Plot;True
Box Plot;Single Facetted Box Plot;Whisker Plot;Comparison |  Distribution |  Range;3-Dimensional;1;2;X-Position |  Y-Position |  Bar |  Length |  Row or Column;"{""x"": ""num"" |  ""y"": ""cat"" |  ""col"": ""cat""}";{};{};99999;Carthesian;Bar |  Line;;;;True;True;False;False;Seaborn;Violin Plot;True
Box Plot;Single Facetted Grouped Box Plot;Whisker Plot;Comparison |  Distribution |  Range;4-Dimensional;1;3;X-Position |  Y-Position |  Bar |  Length |  Row or Column;"{""x"": ""num"" |  ""y"": ""cat"" |  ""hue"": ""cat"" |  ""col"": ""cat""}";{};{};99999;Carthesian;Bar |  Line;;;;True;True;False;True;Seaborn;Violin Plot;True
Box Plot;Dual Facetted Box Plot;Whisker Plot;Comparison |  Distribution |  Range;4-Dimensional;1;3;X-Position |  Y-Position |  Bar |  Length |  Row |  Column;"{""x"": ""num"" |  ""y"": ""cat"" |  ""row"": ""cat"" |  ""col"": ""cat""}";{};{};99999;Carthesian;Bar |  Line;;;;True;False;True;False;Seaborn;Violin Plot;True
Box Plot;Dual Facetted Grouped Box Plot;Whisker Plot;Comparison |  Distribution |  Range;5-Dimensional;1;4;X-Position |  Y-Position |  Bar |  Length |  Row |  Column;"{""x"": ""num"" |  ""y"": ""cat"" |  ""hue"": ""cat"" |  ""row"": ""cat"" |  ""col"": ""cat""}";{};{};99999;Carthesian;Bar |  Line;;;;True;False;True;True;Seaborn;Violin Plot;True
Bubble Map;;;Location |  ;;3;1;;;{};{};99999;Map Projection;Circle |  Map;;;"As for bubble charts |  the size of bubbles must be mapped to its area |  not to its radius. If not it exagerates differences. See more.

Mind overplotting. In any case |  it is a good practice to set up a bit of transparency for each bubble |  allowing to see the map behind it.

Donâ€™t forget your legend to make the link between bubble size and numeric value.";False;False;False;False;;;False
Bubble Plot;;Dot Map;Location |  ;;;;;;{};{};99999;Carthesian;Circle |  Dot;;;;False;False;False;False;;Bubble Chart |  Correlogram |  3D Scatter Plot;False
Bullet Graph;Simple Bullet Graph;;Comparison |  Range |  Part-to-a-whole;;;;X-Position |  Y-Position |  Bar |  Length |  Line |  Colour;;{};{};99999;Carthesian;Bar |  Line;;;;False;False;False;False;Matplotlib;Bar Plot;False
Bullet Graph;Single Facetted Bullet Graph;;Comparison |  Range |  Part-to-a-whole;;;;X-Position |  Y-Position |  Bar |  Length |  Line |  Colour |  Row or Column;;{};{};99999;Carthesian;Bar |  Line;;;;True;True;False;False;Matplotlib;Bar Plot;False
Bullet Graph;Dual Facetted Bullet Graph;;Comparison |  Range |  Part-to-a-whole;;;;X-Position |  Y-Position |  Bar |  Length |  Line |  Colour |  Row |  Column;;{};{};99999;Carthesian;Bar |  Line;;;;True;False;True;False;Matplotlib;Bar Plot;False
Bump Chart;Simple Bump Chart;;Comparison |  Data Over Time;3-Dimensional;1;2;X-Position |  Y-Position |  Dot |  Line |  Colour;;{};{};99999;Carthesian;Dot |  Line;;;;False;False;False;True;;Slope Chart;False
Candlestick Chart;Simple Candlestick Chart;Japanese candlestick chart;Data Over Time |  Range;2-Dimensional;5;0;X-Position |  Y-Position |  Bar |  Length;;{};{};99999;Carthesian;Bar |  Line;;;;False;False;False;False;;;False
Candlestick Chart;Single Facetted Candlestick Chart;Japanese candlestick chart;Comparison |  Data Over Time |  Range;3-Dimensional;5;1;X-Position |  Y-Position |  Bar |  Length |  Row or Column;;{};{};99999;Carthesian;Bar |  Line;;;;True;True;False;False;;;False
Candlestick Chart;Dual Facetted Candlestick Chart;Japanese candlestick chart;Comparison |  Data Over Time |  Range;4-Dimensional;5;2;X-Position |  Y-Position |  Bar |  Length |  Row |  Column;;{};{};99999;Carthesian;Bar |  Line;;;;True;False;True;False;;;False
Chloropeth Map;;;Location |  Comparison;;;;;;{};{};99999;Map Projection;;;;;False;False;False;False;;;False
Chord Diagram;;;Relationship;2-Dimensional;2;0;X-Position |  Size |  Circle |  Line;;{};{};99999;Map Projection;Circle |  Line;;;;False;False;False;False;;;False
Connection Map;;;Location |  Hierachy;;;;;;{};{};99999;Polar;;;;;False;False;False;False;;;False
Contour Plot;;;;;;;;;{};{};99999;Map Projection;;;;;False;False;False;False;;;False
Correlogram;Simple Correlogram;Pair Plot;Comparison |  Distribution |  Range |  Relationship;N-Dimensional;N;0;X-Position |  Y-Position |  Area |  Dot;;{};{};99999;Carthesian;Area |  Dot;;;;True;False;True;False;Seaborn;3D Scatter Plot |  Bubble Chart |  Scatter Plot;False
Correlogram;Grouped Correlogram;Pair Plot;;;;;X-Position |  Y-Position |  Area |  Dot |  Colour;;{};{};99999;Carthesian;Area |  Dot;;;;True;False;True;True;Seaborn;3D Scatter Plot |  Bubble Chart |  Scatter Plot;False
Dendrogram;Simple Dendogram;Cluster Map;Part-to-a-Whole |  Relationship;;;;X-Position |  Y-Position |  Length |  Line;;{};{};99999;Carthesian;Line;;;;False;False;False;False;Seaborn;Arc Diagram;False
Dendrogram;Grouped Dendogram;Cluster Map;Comparison |  Part-to-a-Whole |  Relationship;;;;X-Position |  Y-Position |  Length |  Line |  Colour;;{};{};99999;Carthesian;Line;;;;False;False;False;True;Seaborn;Arc Diagram;False
Dendrogram;Circular Grouped Denogram;Cluster Map;Comparison |  Part-to-a-Whole |  Relationship;;;;Angle |  Size |  Line |  Circle |  Colour;;{};{};99999;Polar;Line |  Circle;;;;False;False;False;False;;;False
Dendrogram;Heatmap Dendogram;Cluster Map;;;;;;;{};{};99999;Carthesian;;;;;False;False;False;False;;;False
Density Plot;Simple Density Plot;;Distribution |  Range;1-Dimensional;1;0;X-Position |  Y-Position |  Area |  Length;"{""x"": ""num""}";"{""fill"": 1}";{};99999;Carthesian;Area;;;;False;False;False;False;Seaborn;;False
Density Plot;Grouped Density Plot;;Comparison |  Distribution |  Range;2-Dimensional;1;1;X-Position |  Y-Position |  Area |  Length;"{""x"": ""num"" |  ""hue"": ""cat""}";"{""fill"": 1}";{};99999;Carthesian;Area;;;;False;False;False;True;Seaborn;;False
Density Plot;Single Facetted Density Plot;;Comparison |  Distribution |  Range;2-Dimensional;1;1;X-Position |  Y-Position |  Area |  Length |  Colour;"{""x"": ""num"" |  ""col"": ""cat""}";{};{};99999;Carthesian;Area;;;;True;True;False;False;Seaborn;;False
Density Plot;Single Facetted Grouped Density Plot;;Comparison |  Distribution |  Range;3-Dimensional;1;2;X-Position |  Y-Position |  Area |  Length |  Row or Column;"{""x"": ""num"" |  ""hue"": ""cat"" |  ""col"": ""cat""}";{};{};99999;Carthesian;Area;;;;True;True;False;True;Seaborn;;False
Density Plot;Dual Facetted Density Plot;;Comparison |  Distribution |  Range;3-Dimensional;1;2;X-Position |  Y-Position |  Area |  Length |  Colour |  Row or Column;"{""x"": ""num"" |  ""row"": ""cat"" |  ""col"": ""cat""}";{};{};99999;Carthesian;Area;;;;True;False;True;False;Seaborn;;False
Density Plot;Dual Facetted Grouped Density Plot;;Comparison |  Distribution |  Range;4-Dimensional;1;3;X-Position |  Y-Position |  Area |  Length |  Row |  Column;"{""x"": ""num"" |  ""hue"": ""cat"" |  ""row"": ""cat"" |  ""col"": ""cat""}";{};{};99999;Carthesian;Area;;;;True;False;True;True;Seaborn;;False
Donut Chart;Simple Donut Chart;Doughnut chart;Distribution |  Part-to-a-whole;1-Dimensional;0;1;Angle;{};{};{};99999;Polar;Circle;;;;False;False;False;False;Seaborn;Gauge Chart |  Pie Chart;False
Donut Chart;Single Facetted Donut Chart;Doughnut chart;Comparison |  Distribution |  Part-to-a-whole;2-Dimensional;0;2;Angle |  Row or Column;{};{};{};99999;Carthesian |  Polar;Circle;;;;True;True;False;False;Seaborn;Gauge Chart |  Pie Chart;False
Donut Chart;Single Facetted Grouped Donut Chart;Doughnut chart;Comparison |  Distribution |  Part-to-a-whole;3-Dimensional;0;3;Angle |  Colour |  Row or Column;{};{};{};99999;Carthesian |  Polar;Circle;;;;True;True;False;True;Seaborn;Gauge Chart |  Pie Chart;False
Donut Chart;Dual Facetted Donut Chart;Doughnut chart;Comparison |  Distribution |  Part-to-a-whole;3-Dimensional;0;3;Angle |  Row |  Column;{};{};{};99999;Carthesian |  Polar;Circle;;;;True;False;True;False;Matplotlib;Gauge Chart |  Pie Chart;False
Donut Chart;Dual Facetted Grouped Donut Chart;Doughnut chart;Comparison |  Distribution |  Part-to-a-whole;4-Dimensional;0;4;Angle |  Colour |  Row |  Column;{};{};{};99999;Carthesian |  Polar;Circle;;;;True;False;True;True;Matplotlib;Gauge Chart |  Pie Chart;False
Dumbbell Plot;Single Dumbbell Plot;Connected Dot Plot |  Dumbbell Dot Plot;Comparison |  Data Over Time;3-Dimensional;1;2;X-Position |  Y-Position |  Length |  Colour;;{};{};99999;Carthesian;Dot |  Line;;;;False;False;False;False;Matplotlib;Lollipop Chart;False
